year,data_status_cd,deal_type_sort,deal_type_cd,deal_type,new_build_sort,new_build_cd,new_build,area_sort,area_cd,area_name,rooms_sort,rooms_cd,rooms_label,num_transactions,price_per_sqm_chf,median_price_chf,total_price_chf,area_level,rooms_num,has_price_data
2009,D,1,22,Kauf,1,J,Ja,0,0,Ganze Stadt,1,1,1-Zimmer,31.0,8552.0,265000.0,11965926.0,city_total,1,True
2009,D,1,22,Kauf,1,J,Ja,0,0,Ganze Stadt,2,2,2-Zimmer,89.0,7800.0,505000.0,54240051.0,city_total,2,True
2009,D,1,22,Kauf,1,J,Ja,0,0,Ganze Stadt,3,3,3-Zimmer,143.0,7389.0,698550.0,116057305.0,city_total,3,True
2009,D,1,22,Kauf,1,J,Ja,0,0,Ganze Stadt,4,4,4-Zimmer,208.0,7577.0,855750.0,203086012.0,city_total,4,True
2009,D,1,22,Kauf,1,J,Ja,0,0,Ganze Stadt,5,5,5-Zimmer,83.0,9117.0,1312500.0,113148986.0,city_total,5,True
2009,D,1,22,Kauf,1,J,Ja,0,0,Ganze Stadt,6,6,6-Zimmer und mehr,37.0,8015.0,1470810.0,71470813.0,city_total,6,True
2009,D,1,22,Kauf,1,J,Ja,10,1,Kreis 1,1,1,1-Zimmer,,50563.0,627500.0,1255000.0,district,1,True
2009,D,1,22,Kauf,1,J,Ja,10,1,Kreis 1,2,2,2-Zimmer,6.0,13221.0,794000.0,4373000.0,district,2,True
2009,D,1,22,Kauf,1,J,Ja,10,1,Kreis 1,3,3,3-Zimmer,,15313.0,1470000.0,,district,3,False
2009,D,1,22,Kauf,1,J,Ja,10,1,Kreis 1,4,4,4-Zimmer,3.0,13303.0,1450000.0,3995074.0,district,4,True
2009,D,1,22,Kauf,1,J,Ja,10,1,Kreis 1,5,5,5-Zimmer,3.0,4600.0,684930.0,2687426.0,district,5,True
2009,D,1,22,Kauf,1,J,Ja,10,1,Kreis 1,6,6,6-Zimmer und mehr,0.0,,,,district,6,False
2009,D,1,22,Kauf,1,J,Ja,11,11,Rathaus,1,1,1-Zimmer,,93000.0,930000.0,,quarter,1,False
2009,D,1,22,Kauf,1,J,Ja,11,11,Rathaus,2,2,2-Zimmer,,13221.0,899000.0,3343000.0,quarter,2,True
2009,D,1,22,Kauf,1,J,Ja,11,11,Rathaus,3,3,3-Zimmer,,15313.0,1470000.0,,quarter,3,False
2009,D,1,22,Kauf,1,J,Ja,11,11,Rathaus,4,4,4-Zimmer,,13993.0,1650000.0,,quarter,4,False
2009,D,1,22,Kauf,1,J,Ja,11,11,Rathaus,5,5,5-Zimmer,0.0,,,,quarter,5,False
2009,D,1,22,Kauf,1,J,Ja,11,11,Rathaus,6,6,6-Zimmer und mehr,0.0,,,,quarter,6,False
2009,D,1,22,Kauf,1,J,Ja,12,12,Hochschulen,1,1,1-Zimmer,0.0,,,,quarter,1,False
2009,D,1,22,Kauf,1,J,Ja,12,12,Hochschulen,2,2,2-Zimmer,0.0,,,,quarter,2,False
2009,D,1,22,Kauf,1,J,Ja,12,12,Hochschulen,3,3,3-Zimmer,0.0,,,,quarter,3,False
2009,D,1,22,Kauf,1,J,Ja,12,12,Hochschulen,4,4,4-Zimmer,0.0,,,,quarter,4,False
2009,D,1,22,Kauf,1,J,Ja,12,12,Hochschulen,5,5,5-Zimmer,0.0,,,,quarter,5,False
2009,D,1,22,Kauf,1,J,Ja,12,12,Hochschulen,6,6,6-Zimmer und mehr,0.0,,,,quarter,6,False
2009,D,1,22,Kauf,1,J,Ja,13,13,Lindenhof,1,1,1-Zimmer,,8125.0,325000.0,,quarter,1,False
2009,D,1,22,Kauf,1,J,Ja,13,13,Lindenhof,2,2,2-Zimmer,,9573.0,515000.0,,quarter,2,False
2009,D,1,22,Kauf,1,J,Ja,13,13,Lindenhof,3,3,3-Zimmer,0.0,,,,quarter,3,False
2009,D,1,22,Kauf,1,J,Ja,13,13,Lindenhof,4,4,4-Zimmer,0.0,,,,quarter,4,False
2009,D,1,22,Kauf,1,J,Ja,13,13,Lindenhof,5,5,5-Zimmer,,14504.0,1900000.0,,quarter,5,False
2009,D,1,22,Kauf,1,J,Ja,13,13,Lindenhof,6,6,6-Zimmer und mehr,0.0,,,,quarter,6,False
2009,D,1,22,Kauf,1,J,Ja,14,14,City,1,1,1-Zimmer,0.0,,,,quarter,1,False
2009,D,1,22,Kauf,1,J,Ja,14,14,City,2,2,2-Zimmer,0.0,,,,quarter,2,False
2009,D,1,22,Kauf,1,J,Ja,14,14,City,3,3,3-Zimmer,0.0,,,,quarter,3,False
2009,D,1,22,Kauf,1,J,Ja,14,14,City,4,4,4-Zimmer,,4600.0,695070.0,,quarter,4,False
2009,D,1,22,Kauf,1,J,Ja,14,14,City,5,5,5-Zimmer,,2642.0,393710.0,,quarter,5,False
2009,D,1,22,Kauf,1,J,Ja,14,14,City,6,6,6-Zimmer und mehr,0.0,,,,quarter,6,False
